"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SP","Josh Collmenter",4000,"StL@Ari 09:40PM ET",0,"Ari"
"RP","Pedro Baez",4000,"Mia@LAD 10:10PM ET",3.820,"LAD"
"RP","Mitch Harris",4000,"StL@Ari 09:40PM ET",0,"StL"
"RP","Tommy Layne",4000,"Atl@Bos 07:10PM ET",1.875,"Bos"
"RP","Brian Matusz",4000,"CWS@Bal 07:05PM ET",-1.375,"Bal"
"SP","Lance Lynn",4000,"StL@Ari 09:40PM ET",0,"StL"
"RP","Robbie Ross Jr.",4000,"Atl@Bos 07:10PM ET",3.614,"Bos"
"RP","Craig Kimbrel",4000,"Atl@Bos 07:10PM ET",3.809,"Bos"
"RP","Daniel Hudson",4000,"StL@Ari 09:40PM ET",4.083,"Ari"
"RP","Zach Putnam",4000,"CWS@Bal 07:05PM ET",4.843,"CWS"
"RP","Michael Kohn",4000,"Atl@Bos 07:10PM ET",0,"Atl"
"RP","Jeff Beliveau",4000,"CWS@Bal 07:05PM ET",0,"Bal"
"RP","Dan Jennings",4000,"CWS@Bal 07:05PM ET",3.863,"CWS"
"SP","Ryan Weber",4000,"Atl@Bos 07:10PM ET",3.217,"Atl"
"RP","Brad Brach",4000,"CWS@Bal 07:05PM ET",5.327,"Bal"
"RP","Hunter Cervenka",4000,"Atl@Bos 07:10PM ET",2.944,"Atl"
"RP","Randall Delgado",4000,"StL@Ari 09:40PM ET",2.179,"Ari"
"RP","Arodys Vizcaino",4000,"Atl@Bos 07:10PM ET",4.044,"Atl"
"RP","Kevin Siegrist",4000,"StL@Ari 09:40PM ET",4.850,"StL"
"RP","Koji Uehara",4000,"Atl@Bos 07:10PM ET",2.620,"Bos"
"RP","Junichi Tazawa",4000,"Atl@Bos 07:10PM ET",3.590,"Bos"
"OF","Avisail Garcia",4000,"CWS@Bal 07:05PM ET",6.167,"CWS"
"RP","Mychal Givens",4000,"CWS@Bal 07:05PM ET",4.430,"Bal"
"OF","Jeremy Hazelbaker",4000,"StL@Ari 09:40PM ET",8.143,"StL"
"RP","Louis Coleman",4000,"Mia@LAD 10:10PM ET",1.593,"LAD"
"RP","A.J. Ramos",4000,"Mia@LAD 10:10PM ET",4.075,"Mia"
"RP","Trevor Rosenthal",4000,"StL@Ari 09:40PM ET",5.279,"StL"
"RP","Keith Butler",4000,"StL@Ari 09:40PM ET",0,"StL"
"RP","Pat Light",4000,"Atl@Bos 07:10PM ET",-3.550,"Bos"
"RP","Jake Petricka",4000,"CWS@Bal 07:05PM ET",2.343,"CWS"
"RP","Enrique Burgos",4000,"StL@Ari 09:40PM ET",1.867,"Ari"
"RP","Paco Rodriguez",4000,"Atl@Bos 07:10PM ET",0,"Atl"
"RP","Yimi Garcia",4000,"Mia@LAD 10:10PM ET",1.572,"LAD"
"RP","Lisalverto Bonilla",4000,"Mia@LAD 10:10PM ET",0,"LAD"
"RP","Seth Maness",4000,"StL@Ari 09:40PM ET",0.150,"StL"
